Spanish,Word Type,Gender,Italian,German,English
el cuchillo,noun,masculine,coltello,das Messer,knife
el desayuno,noun,masculine,colazione,das Frühstück,breakfast
el almuerzo,noun,masculine,pranzo,das Mittagessen,lunch
el aceite,noun,masculine,olio,das Öl,oil (cooking / olive)
la mantequilla,noun,feminine,burro,die Butter,butter
el queso,noun,masculine,formaggio,der Käse,cheese
la fresa,noun,feminine,fragola,die Erdbeere,strawberry
la manzana,noun,feminine,mela,der Apfel,apple
la madera,noun,feminine,legno,das Holz,wood
la madrugada,noun,feminine,alba,das Morgengrauen / die Frühe,dawn / early morning
la pesadilla,noun,feminine,incubo,der Albtraum,nightmare
el miedo,noun,masculine,paura,die Angst,fear
el juguete,noun,masculine,giocattolo,das Spielzeug,toy
el charco,noun,masculine,pozzanghera,die Pfütze,puddle
la ola,noun,feminine,onda,die Welle,wave
la nube,noun,feminine,nuvola,die Wolke,cloud
la lluvia,noun,feminine,pioggia,der Regen,rain
el relámpago,noun,masculine,fulmine,der Blitz,lightning
la huella,noun,feminine,impronta,die Spur / der Fußabdruck,footprint / track / trace
la basura,noun,feminine,spazzatura,der Müll / der Abfall,trash / rubbish
la añoranza,noun,feminine,nostalgia,die Sehnsucht / die Wehmut,yearning / longing
el hábito,noun,masculine,abitudine,die Gewohnheit,habit
el cumpleaños,noun,masculine,compleanno,der Geburtstag,birthday
el sueño,noun,masculine,sonno,der Schlaf / die Müdigkeit,sleep / sleepiness
la rebanada,noun,feminine,fetta,die Scheibe (Brot),slice
la sartén,noun,feminine,padella,die Bratpfanne,frying pan
las tijeras,noun,feminine (plural),forbici,die Schere,scissors
los cubiertos,noun,masculine (plural),posate,das Besteck,cutlery / silverware
el estante,noun,masculine,scaffale,das Regal,shelf
el cajón,noun,masculine,cassetto,die Schublade,drawer
la almohada,noun,feminine,cuscino,das Kopfkissen,pillow
la manta,noun,feminine,coperta,die Decke (Wohndecke),blanket
la sábana,noun,feminine,lenzuolo,das Bettlaken,bed sheet
el grifo,noun,masculine,rubinetto,der Wasserhahn,tap / faucet
el peine,noun,masculine,pettine,der Kamm,comb
el cepillo,noun,masculine,spazzola,die Bürste,brush
los calcetines,noun,masculine (plural),calzini,die Socken,socks
el cinturón,noun,masculine,cintura,der Gürtel,belt
el albornoz,noun,masculine,accappatoio,der Bademantel,bathrobe
la billetera,noun,feminine,portafoglio,die Brieftasche / das Portemonnaie,wallet
el paraguero,noun,masculine,portaombrelli,der Schirmständer,umbrella stand
el rebaño,noun,masculine,gregge,die Herde,flock / herd
el trueno,noun,masculine,tuono,der Donner,thunder
el espejo,noun,masculine,specchio,der Spiegel,mirror
el hielo,noun,masculine,ghiaccio,das Eis,ice
el hierro,noun,masculine,ferro,das Eisen,iron
la plata,noun,feminine,argento,das Silber,silver
hablar,verb,-,parlare,sprechen / reden,to speak / to talk
encontrar,verb,-,trovare,finden,to find / to meet
buscar,verb,-,cercare,suchen,to look for / to search
llegar,verb,-,arrivare,ankommen,to arrive
salir,verb,-,uscire,hinausgehen / verlassen,to exit / to leave / to go out
quedarse,verb,-,rimanere,bleiben,to stay / to remain
olvidar,verb,-,dimenticare,vergessen,to forget
mirar,verb,-,guardare,schauen / ansehen,to look at / to watch
empezar,verb,-,cominciare,anfangen / beginnen,to begin / to start
volver,verb,-,tornare,zurückkehren,to return / to come back
dejar,verb,-,lasciare,lassen / verlassen,to leave / to let
llevar,verb,-,portare,tragen / mitnehmen,to carry / to bring / to wear
pedir,verb,-,chiedere,bitten um / bestellen,to ask for / to order
preguntar,verb,-,domandare,fragen,to ask (a question)
contestar,verb,-,rispondere,antworten,to answer
intentar,verb,-,provare,versuchen,to try / to attempt
aprender,verb,-,imparare,lernen,to learn
enseñar,verb,-,insegnare,lehren / beibringen / zeigen,to teach / to show
elegir,verb,-,scegliere,auswählen / wählen,to choose / to select
añadir,verb,-,aggiungere,hinzufügen,to add
parar,verb,-,fermarsi,anhalten / stoppen,to stop
despertar,verb,-,svegliare,aufwecken,to wake up
acostar,verb,-,coricare,zu Bett bringen / schlafen legen,to put to bed / lie down
levantar,verb,-,alzare,aufheben / erheben,to lift / to raise
cuidar,verb,-,badare,sich kümmern um / pflegen,to take care of / to look after
tirar,verb,-,buttare,werfen / wegwerfen,to throw / to throw away
echar,verb,-,gettare,werfen / schütten / gießen,to throw / to pour / to put
coger,verb,-,prendere,nehmen / greifen,to take / to grab
agarrar,verb,-,afferrare,packen / festhalten,to grab / to grasp
soltar,verb,-,rilasciare,loslassen,to let go / to release
apagar,verb,-,spegnere,ausschalten / löschen,to turn off / to extinguish
encender,verb,-,accendere,einschalten / anzünden,to turn on / to light
esperar,verb,-,aspettare,warten,to wait / to expect
parecer,verb,-,sembrare,scheinen / aussehen wie,to seem / to appear
entender,verb,-,capire,verstehen,to understand
dibujar,verb,-,disegnare,zeichnen,to draw
burlar,verb,-,beffare,verspotten / foppen,to mock / to ridicule
despachar,verb,-,sbrigare,abfertigen / erledigen,to dispatch / to handle
gastar,verb,-,spendere,ausgeben (Geld) / verbrauchen,to spend / to consume
ahorrar,verb,-,risparmiare,sparen,to save (money/energy)
arreglar,verb,-,riparare,reparieren / in Ordnung bringen,to fix / to arrange
alquilar,verb,-,affittare,mieten / vermieten,to rent / to hire
lograr,verb,-,raggiungere,schaffen / erreichen,to achieve / to manage to
quejarse,verb,-,lamentarsi,sich beschweren / klagen,to complain
apoyar,verb,-,sostenere,unterstützen / stützen,to support / to lean
borrar,verb,-,cancellare,löschen / ausradieren,to erase / to delete
chocar,verb,-,urtare,zusammenstoßen / kollidieren,to crash / to collide
rebanar,verb,-,affettare,in Scheiben schneiden,to slice
derramar,verb,-,rovesciare,verschütten / vergießen,to spill
empujar,verb,-,spingere,schieben / stoßen,to push
jalar,verb,-,tirare,ziehen,to pull
golpear,verb,-,picchiare,schlagen / treffen,to hit / to strike
rechazar,verb,-,rifiutare,ablehnen / zurückweisen,to reject / to refuse
entregar,verb,-,consegnare,übergeben / abliefern,to deliver / to hand over
madrugar,verb,-,alzarsi presto,früh aufstehen,to wake up early
rojo,adjective,-,rosso,rot,red
amarillo,adjective,-,giallo,gelb,yellow
pequeño,adjective,-,piccolo,klein,small / little
ancho,adjective,-,largo,breit / weit,wide / broad
estrecho,adjective,-,stretto,eng / schmal,narrow
delgado,adjective,-,magro,dünn / schlank,thin / slender
gordo,adjective,-,grasso,dick / fett,fat
blando,adjective,-,morbido,weich,soft
limpio,adjective,-,pulito,sauber,clean
sucio,adjective,-,sporco,schmutzig / dreckig,dirty
listo,adjective,-,furbo,schlau / bereit,clever / ready
tonto,adjective,-,sciocco,dumm / albern,silly / foolish
guapo,adjective,-,bello,hübsch / gutaussehend,handsome / good-looking
feo,adjective,-,brutto,hässlich,ugly
viejo,adjective,-,vecchio,alt,old
caliente,adjective,-,caldo,heiß / warm,hot / warm
agrio,adjective,-,aspro,sauer,sour
sabroso,adjective,-,saporito,schmackhaft / lecker,tasty / flavorful
barato,adjective,-,economico,billig / günstig,cheap / inexpensive
lleno,adjective,-,pieno,voll,full
vacío,adjective,-,vuoto,leer,empty
lejos,adverb,-,lontano,weit / fern,far away
cerca,adverb,-,vicino,nah / in der Nähe,close / near
despacio,adverb,-,piano,langsam,slowly
deprisa,adverb,-,in fretta,schnell / eilig,quickly / hurriedly
temprano,adverb,-,presto,früh,early
enseguida,adverb,-,subito,sofort / auf der Stelle,immediately / right away
ahora,adverb,-,adesso,jetzt,now
todavía,adverb,-,ancora,noch,still / yet
nunca,adverb,-,mai,nie / niemals,never
jamás,adverb,-,mai,jemals / nie,never / ever
a menudo,adverbial phrase,-,spesso,oft / häufig,often
a veces,adverbial phrase,-,a volte,manchmal,sometimes
quizás,adverb,-,forse,vielleicht,maybe / perhaps
tal vez,adverbial phrase,-,forse,vielleicht,maybe / perhaps
arriba,adverb,-,su,oben / hinauf,up / upstairs / above
abajo,adverb,-,giù,unten / hinab,down / downstairs / below
adelante,adverb,-,avanti,vorwärts / voran,forward / ahead
atrás,adverb,-,indietro,zurück / hinten,back / behind
alrededor,adverb,-,intorno,herum / ringsum,around
enfrente,adverb,-,di fronte,gegenüber,opposite / in front
izquierda,noun / adjective,feminine,sinistra,links / linke Seite,left
derecha,noun / adjective,feminine,destra,rechts / rechte Seite,right
demasiado,adverb / adjective,-,troppo,zu / zu viel,too / too much
bastante,adverb / adjective,-,abbastanza,ziemlich / genug,quite / enough
igual,adjective / adverb,-,uguale,gleich,equal / same
mismo,adjective / pronoun,-,stesso,selbe / gleiche,same
cada,determiner,-,ogni,jeder / jede / jedes,each / every
ambos,determiner / pronoun,masculine (plural),entrambi,beide,both
ninguno,determiner / pronoun,masculine,nessuno,keiner / niemand,none / no one
alguien,pronoun,-,qualcuno,jemand,someone / somebody
nadie,pronoun,-,nessuno,niemand,nobody / no one
algo,pronoun,-,qualcosa,etwas,something / anything
nada,pronoun / adverb,-,niente,nichts,nothing / not at all
pero,conjunction,-,ma,aber,but
